"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Cork City North West, Cork City","5 - 11 years","","","","","","","","","",""
"2021 January","Cork City North West, Cork City","12 years and over","3.2","2.2","","","","","","","",""
"2021 January","Cork City North East, Cork City","5 - 11 years","","","","","","","","","",""
"2021 January","Cork City North East, Cork City","12 years and over","2.4","1.6","","","","","","","",""
"2021 January","Cork City South East, Cork City","5 - 11 years","","","","","","","","","",""
"2021 January","Cork City South East, Cork City","12 years and over","3.4","2.8","","","","","","","",""
"2021 January","Cork City South Central, Cork City","5 - 11 years","","","","","","","","","",""
"2021 January","Cork City South Central, Cork City","12 years and over","3.4","2.7","","","","","","","",""
"2021 January","Cork City South West, Cork City","5 - 11 years","","","","","","","","","",""
"2021 January","Cork City South West, Cork City","12 years and over","4.9","4.3","","","","","","","",""
"2021 January","Glenties, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Glenties, Donegal","12 years and over","3.8","0.2","","","","","","","",""
"2021 January","Milford, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Milford, Donegal","12 years and over","3.8","0.7","","","","","","","",""
"2021 January","Carndonagh, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Carndonagh, Donegal","12 years and over","2.1","0.1","","","","","","","",""
"2021 January","Buncrana, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Buncrana, Donegal","12 years and over","1.6","0.1","","","","","","","",""
"2021 January","Donegal, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Donegal, Donegal","12 years and over","2.6","0.2","","","","","","","",""
"2021 January","Letterkenny, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Letterkenny, Donegal","12 years and over","2.5","1.1","","","","","","","",""
"2021 January","Lifford-Stranorlar, Donegal","5 - 11 years","","","","","","","","","",""
"2021 January","Lifford-Stranorlar, Donegal","12 years and over","2.4","0.3","","","","","","","",""
"2021 January","Conamara North, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Conamara North, Galway County","12 years and over","3.8","0.6","","","","","","","",""
"2021 January","Tuam, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Tuam, Galway County","12 years and over","2.6","0.9","","","","","","","",""
"2021 January","Ballinasloe, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Ballinasloe, Galway County","12 years and over","3.6","1.5","","","","","","","",""
"2021 January","Loughrea, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Loughrea, Galway County","12 years and over","3.3","1","","","","","","","",""
"2021 January","Athenry-Oranmore, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Athenry-Oranmore, Galway County","12 years and over","2.8","1.2","","","","","","","",""
"2021 January","Gort-Kinvara, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Gort-Kinvara, Galway County","12 years and over","3.2","1.2","","","","","","","",""
"2021 January","Conamara South, Galway County","5 - 11 years","","","","","","","","","",""
"2021 January","Conamara South, Galway County","12 years and over","4.4","1.2","","","","","","","",""
"2021 January","Galway City West, Galway City","5 - 11 years","","","","","","","","","",""
"2021 January","Galway City West, Galway City","12 years and over","3.3","2.5","","","","","","","",""
"2021 January","Galway City Central, Galway City","5 - 11 years","","","","","","","","","",""
"2021 January","Galway City Central, Galway City","12 years and over","2.8","1.9","","","","","","","",""
"2021 January","Galway City East, Galway City","5 - 11 years","","","","","","","","","",""
"2021 January","Galway City East, Galway City","12 years and over","1.7","0.9","","","","","","","",""
"2021 January","Listowel, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Listowel, Kerry","12 years and over","4.3","1.9","","","","","","","",""
"2021 January","Castleisland, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Castleisland, Kerry","12 years and over","5","2.4","","","","","","","",""
"2021 January","Killarney, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Killarney, Kerry","12 years and over","3","1.6","","","","","","","",""
"2021 January","Kenmare, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Kenmare, Kerry","12 years and over","3.3","0.9","","","","","","","",""
"2021 January","Corca Dhuibhne, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Corca Dhuibhne, Kerry","12 years and over","4.2","1.7","","","","","","","",""
"2021 January","Tralee, Kerry","5 - 11 years","","","","","","","","","",""
"2021 January","Tralee, Kerry","12 years and over","4.8","3.5","","","","","","","",""
"2021 January","Maynooth, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Maynooth, Kildare","12 years and over","1.6","0.8","","","","","","","",""
"2021 January","Celbridge, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Celbridge, Kildare","12 years and over","1.6","0.9","","","","","","","",""
"2021 January","Naas, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Naas, Kildare","12 years and over","2.4","1.4","","","","","","","",""
"2021 January","Athy, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Athy, Kildare","12 years and over","1.9","0.5","","","","","","","",""
"2021 January","Kildare, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Kildare, Kildare","12 years and over","2","0.7","","","","","","","",""
"2021 January","Clane, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Clane, Kildare","12 years and over","2.5","0.8","","","","","","","",""
"2021 January","Leixlip, Kildare","5 - 11 years","","","","","","","","","",""
"2021 January","Leixlip, Kildare","12 years and over","1.6","1","","","","","","","",""
"2021 January","Newbridge, Kildare","5 - 11 years","","","","","","","","","",""
