"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Newbridge, Kildare","12 years and over","1.6","0.9","","","","","","","",""
"2021 January","Castlecomer, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 January","Castlecomer, Kilkenny","12 years and over","2.6","0.7","","","","","","","",""
"2021 January","Kilkenny, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 January","Kilkenny, Kilkenny","12 years and over","1.9","1.1","","","","","","","",""
"2021 January","Piltown, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 January","Piltown, Kilkenny","12 years and over","3.4","1.7","","","","","","","",""
"2021 January","Callan-Thomastown, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 January","Callan-Thomastown, Kilkenny","12 years and over","2.5","0.9","","","","","","","",""
"2021 February","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","","","","","","","","","",""
"2021 February","Borris-In-Ossory-Mountmellick, Laois","12 years and over","5.4","2.6","","","","","","","",""
"2021 February","Portlaoise, Laois","5 - 11 years","","","","","","","","","",""
"2021 February","Portlaoise, Laois","12 years and over","4.9","2.8","","","","","","","",""
"2021 February","Graiguecullen -Portarlington, Laois","5 - 11 years","","","","","","","","","",""
"2021 February","Graiguecullen -Portarlington, Laois","12 years and over","4.6","2.3","","","","","","","",""
"2021 February","Carlow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 February","Carlow, Carlow","12 years and over","3.5","2.1","","","","","","","",""
"2021 February","Tullow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 February","Tullow, Carlow","12 years and over","4.1","1.9","","","","","","","",""
"2021 February","Muinebeag, Carlow","5 - 11 years","","","","","","","","","",""
"2021 February","Muinebeag, Carlow","12 years and over","4.6","2.5","","","","","","","",""
"2021 February","Manorhamilton, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 February","Manorhamilton, Leitrim","12 years and over","5.7","2.7","","","","","","","",""
"2021 February","Ballinamore, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 February","Ballinamore, Leitrim","12 years and over","5.9","2.4","","","","","","","",""
"2021 February","Carrick-On-Shannon, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 February","Carrick-On-Shannon, Leitrim","12 years and over","5.6","3","","","","","","","",""
"2021 February","Newcastle West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Newcastle West, Limerick","12 years and over","5.4","2.8","","","","","","","",""
"2021 February","Adare-Rathkeale, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Adare-Rathkeale, Limerick","12 years and over","5.1","2.6","","","","","","","",""
"2021 February","Cappamore-Kilmallock, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Cappamore-Kilmallock, Limerick","12 years and over","5","2.3","","","","","","","",""
"2021 February","Limerick City West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Limerick City West, Limerick","12 years and over","5.1","2.3","","","","","","","",""
"2021 February","Limerick City North, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Limerick City North, Limerick","12 years and over","3.3","1.9","","","","","","","",""
"2021 February","Limerick City East, Limerick","5 - 11 years","","","","","","","","","",""
"2021 February","Limerick City East, Limerick","12 years and over","3.6","1.8","","","","","","","",""
"2021 February","Granard, Longford","5 - 11 years","","","","","","","","","",""
"2021 February","Granard, Longford","12 years and over","5.1","1.9","","","","","","","",""
"2021 February","Ballymahon, Longford","5 - 11 years","","","","","","","","","",""
"2021 February","Ballymahon, Longford","12 years and over","5","2.3","","","","","","","",""
"2021 February","Longford, Longford","5 - 11 years","","","","","","","","","",""
"2021 February","Longford, Longford","12 years and over","4.6","2.4","","","","","","","",""
"2021 February","Dundalk-Carlingford, Louth","5 - 11 years","","","","","","","","","",""
"2021 February","Dundalk-Carlingford, Louth","12 years and over","2.9","1.4","","","","","","","",""
"2021 February","Dundalk South, Louth","5 - 11 years","","","","","","","","","",""
"2021 February","Dundalk South, Louth","12 years and over","3","1.6","","","","","","","",""
"2021 February","Ardee, Louth","5 - 11 years","","","","","","","","","",""
"2021 February","Ardee, Louth","12 years and over","4.4","2.3","","","","","","","",""
"2021 February","Drogheda Rural, Louth","5 - 11 years","","","","","","","","","",""
"2021 February","Drogheda Rural, Louth","12 years and over","4.1","2.2","","","","","","","",""
"2021 February","Drogheda Urban, Louth","5 - 11 years","","","","","","","","","",""
"2021 February","Drogheda Urban, Louth","12 years and over","4.1","2.6","","","","","","","",""
"2021 February","Ballina, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Ballina, Mayo","12 years and over","3.7","1.8","","","","","","","",""
"2021 February","Claremorris, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Claremorris, Mayo","12 years and over","5","2.5","","","","","","","",""
"2021 February","Castlebar, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Castlebar, Mayo","12 years and over","5.8","2.8","","","","","","","",""
"2021 February","Belmullet, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Belmullet, Mayo","12 years and over","7","3.5","","","","","","","",""
"2021 February","Westport, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Westport, Mayo","12 years and over","3.5","1.6","","","","","","","",""
"2021 February","Swinford, Mayo","5 - 11 years","","","","","","","","","",""
"2021 February","Swinford, Mayo","12 years and over","5.5","2.9","","","","","","","",""
"2021 February","Kells, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Kells, Meath","12 years and over","4.2","1.7","","","","","","","",""
"2021 February","Laytown-Bettystown, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Laytown-Bettystown, Meath","12 years and over","3.8","1.9","","","","","","","",""
"2021 February","Ashbourne, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Ashbourne, Meath","12 years and over","3.4","1.7","","","","","","","",""
"2021 February","Ratoath, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Ratoath, Meath","12 years and over","3.8","2.1","","","","","","","",""
"2021 February","Trim, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Trim, Meath","12 years and over","4.1","2.5","","","","","","","",""
"2021 February","Navan, Meath","5 - 11 years","","","","","","","","","",""
"2021 February","Navan, Meath","12 years and over","3.6","1.8","","","","","","","",""
"2021 February","Monaghan, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 February","Monaghan, Monaghan","12 years and over","3.3","1.6","","","","","","","",""
"2021 February","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 February","Carrickmacross-Castleblayney, Monaghan","12 years and over","4.1","2","","","","","","","",""
"2021 February","Ballybay-Clones, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 February","Ballybay-Clones, Monaghan","12 years and over","4.5","2.1","","","","","","","",""
"2021 February","Birr, Offaly","5 - 11 years","","","","","","","","","",""
"2021 February","Birr, Offaly","12 years and over","6.1","2.4","","","","","","","",""
"2021 February","Tullamore, Offaly","5 - 11 years","","","","","","","","","",""
"2021 February","Tullamore, Offaly","12 years and over","6.1","2.4","","","","","","","",""
"2021 February","Edenderry, Offaly","5 - 11 years","","","","","","","","","",""
"2021 February","Edenderry, Offaly","12 years and over","4.4","1.9","","","","","","","",""
"2021 February","Boyle, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 February","Boyle, Roscommon","12 years and over","5.8","2.8","","","","","","","",""
"2021 February","Roscommon, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 February","Roscommon, Roscommon","12 years and over","7.5","3.4","","","","","","","",""
"2021 February","Athlone, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 February","Athlone, Roscommon","12 years and over","3.8","1.9","","","","","","","",""
"2021 February","Ballymote-Tobercurry, Sligo","5 - 11 years","","","","","","","","","",""
"2021 February","Ballymote-Tobercurry, Sligo","12 years and over","5.5","2.4","","","","","","","",""
"2021 February","Sligo-Drumcliff, Sligo","5 - 11 years","","","","","","","","","",""
"2021 February","Sligo-Drumcliff, Sligo","12 years and over","5.3","2.1","","","","","","","",""
"2021 February","Sligo-Strandhill, Sligo","5 - 11 years","","","","","","","","","",""
"2021 February","Sligo-Strandhill, Sligo","12 years and over","5.3","3","","","","","","","",""
"2021 February","Cavan-Belturbet, Cavan","5 - 11 years","","","","","","","","","",""
"2021 February","Cavan-Belturbet, Cavan","12 years and over","5.2","2.9","","","","","","","",""
"2021 February","Bailieborough-Cootehill, Cavan","5 - 11 years","","","","","","","","","",""
"2021 February","Bailieborough-Cootehill, Cavan","12 years and over","4.1","1.9","","","","","","","",""
"2021 February","Ballyjamesduff, Cavan","5 - 11 years","","","","","","","","","",""
"2021 February","Ballyjamesduff, Cavan","12 years and over","4.5","2","","","","","","","",""
"2021 February","Nenagh, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Nenagh, Tipperary","12 years and over","4.3","2.6","","","","","","","",""
"2021 February","Roscrea-Templemore, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Roscrea-Templemore, Tipperary","12 years and over","4.3","2.3","","","","","","","",""
"2021 February","Carrick-On-Suir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Carrick-On-Suir, Tipperary","12 years and over","5.5","2.4","","","","","","","",""
"2021 February","Clonmel, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Clonmel, Tipperary","12 years and over","6.2","3.1","","","","","","","",""
"2021 February","Cashel-Tipperary, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Cashel-Tipperary, Tipperary","12 years and over","5.7","3.3","","","","","","","",""
"2021 February","Newport, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Newport, Tipperary","12 years and over","4.1","2.1","","","","","","","",""
"2021 February","Thurles, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Thurles, Tipperary","12 years and over","4.6","2","","","","","","","",""
"2021 February","Cahir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 February","Cahir, Tipperary","12 years and over","5.9","2.5","","","","","","","",""
"2021 February","Dungarvan, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Dungarvan, Waterford","12 years and over","5.3","3.2","","","","","","","",""
"2021 February","Portlaw-Kilmacthomas, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Portlaw-Kilmacthomas, Waterford","12 years and over","5.7","1.9","","","","","","","",""
"2021 February","Lismore, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Lismore, Waterford","12 years and over","5.9","3","","","","","","","",""
"2021 February","Tramore-Waterford City West, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Tramore-Waterford City West, Waterford","12 years and over","4.5","1.7","","","","","","","",""
"2021 February","Waterford City South, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Waterford City South, Waterford","12 years and over","4.7","2","","","","","","","",""
"2021 February","Waterford City East, Waterford","5 - 11 years","","","","","","","","","",""
"2021 February","Waterford City East, Waterford","12 years and over","8.2","2.9","","","","","","","",""
"2021 February","Athlone, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 February","Athlone, Westmeath","12 years and over","5.8","2.3","","","","","","","",""
"2021 February","Moate, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 February","Moate, Westmeath","12 years and over","6.1","1.9","","","","","","","",""
"2021 February","Kinnegad, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 February","Kinnegad, Westmeath","12 years and over","5.2","2.5","","","","","","","",""
"2021 February","Mullingar, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 February","Mullingar, Westmeath","12 years and over","5.4","2.4","","","","","","","",""
"2021 February","Gorey, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","Gorey, Wexford","12 years and over","3.8","1.9","","","","","","","",""
"2021 February","Kilmuckridge, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","Kilmuckridge, Wexford","12 years and over","5.6","2","","","","","","","",""
"2021 February","New Ross, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","New Ross, Wexford","12 years and over","5","2.2","","","","","","","",""
"2021 February","Rosslare, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","Rosslare, Wexford","12 years and over","4.1","1.4","","","","","","","",""
"2021 February","Wexford, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","Wexford, Wexford","12 years and over","5.4","2.7","","","","","","","",""
"2021 February","Enniscorthy, Wexford","5 - 11 years","","","","","","","","","",""
"2021 February","Enniscorthy, Wexford","12 years and over","4.9","2.5","","","","","","","",""
"2021 February","Baltinglass, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Baltinglass, Wicklow","12 years and over","4.1","1.8","","","","","","","",""
"2021 February","Bray West, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Bray West, Wicklow","12 years and over","3.1","1.9","","","","","","","",""
"2021 February","Greystones, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Greystones, Wicklow","12 years and over","4","1.9","","","","","","","",""
"2021 February","Wicklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Wicklow, Wicklow","12 years and over","3.5","2","","","","","","","",""
"2021 February","Arklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Arklow, Wicklow","12 years and over","3.3","1.9","","","","","","","",""
"2021 February","Bray East, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 February","Bray East, Wicklow","12 years and over","4.3","3.1","","","","","","","",""
"2021 February","Rush-Lusk, Fingal","5 - 11 years","","","","","","","","","",""
"2021 February","Rush-Lusk, Fingal","12 years and over","3.4","2.1","","","","","","","",""
