GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Ballyragget Medical Centre,"Chapel Avenue, Ballyragget, Kilkenny, R95  W3wa",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 W3wa,NA,NA,52.7891419,-7.3317411
Ballyraine Park Health Centre,"Ballyraine, Letterkenny, Donegal, F92  V9v0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 V9v0,NA,NA,54.9539079,-7.708620799999999
Ballyraine Road Surgery,"Inverarie, Ballyraine Road, Letterkenny, Donegal, F92  Tyf1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 Tyf1,NA,NA,54.9521471,-7.715422
Ballyvaughan Medical Centre,"Ballyvaughan Enterprise Centre, Ballyvaughan, Clare, H91  W8wh",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 W8wh,NA,NA,53.1141003,-9.150108
Ballyvourney Health Centre,"Pairc An Dochtuir, Ballybvourney, Cork, P12  A504",Location And Directions - Google Maps,Https://Maps.app.goo.gl/8qtzerd5z8nqkxfy9,NA,NA,51.9416703,-9.1603201
Baltic Medical Clinic,"6 Meat Market Lane, Drogheda, Louth, A92  Xkr8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Xkr8,NA,NA,53.714199,-6.351240199999999
Banada Surgery,"Banada Primary Care Centre, Banada, Tourlestrane, Sligo, F91  Fp77",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Fp77,NA,NA,54.0367317,-8.8151988
Banagher Health Centre,"Kylebeg Or, Banagher, Offaly, R42  Xw40",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Fvkbz7htxcwqczfz6,NA,NA,53.1840936,-7.9853862
Bandon Medical Clinic,"11/12 Oliver Plunkett Street, Bandon, Cork, P72  N272",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P72 N272,NA,NA,51.74531750000001,-8.7337264
Bangor Erris Health Centre,"Main Street, Bangor Erris, Mayo, F26  Y886",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Svoiqin5xc1vwlf2a,NA,NA,54.1444212,-9.7391021
Bank Place Clinic,"Bank Place, Castletownbere, Cork, P75  V275",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 V275,NA,NA,51.6506593,-9.912175
Bannow Gp,"Graigue, Duncormick, Wexford, Y35  N8xy",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Fadeeawy4gtcoz3t7,NA,NA,52.2443795,-6.7030018
Bansha Health Centre,"Main Street, Bansha, Tipperary, E34  Kv70",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qacv4c5lscbuxe3w8,NA,NA,52.44647390000001,-8.0621894
Bantry Bay Medical Centre,"The Quay, Bantry, Cork, P75  Y368",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 Y368,NA,NA,51.6801431,-9.4587061
Barrow Medical,"Unit E2, The Gasworks, Barrow Street, Dublin, D04  C1k7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 C1k7,NA,NA,53.3385553,-6.2347325
Barryscourt Medical Centre,"Midleton Road, Carrigtwohill, Cork, T45  Ey17",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T45 Ey17,NA,NA,51.9096373,-8.252424999999999
Bath Avenue Surgery,"Bath Avenue Medical Centre, 4/6 Bath Avenue, Dublin, D04  V8n8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 V8n8,NA,NA,53.3373225,-6.2339702
